problem;instance;n;algorithm;budget;parameters;run;fitness;nfev;time
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.2;3;11584;381;687
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.2;4;11694;399;688
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.2;5;11671;392;719
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.2;6;11428;399;688
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.2;7;11437;377;719
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.2;8;11522;397;719
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.2;9;11175;396;687
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.2;10;11420;385;687
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.2;1;8227;390;797
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.2;2;10143;394;969
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.2;3;7982;383;828
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.2;4;8797;397;797
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.2;5;7033;398;859
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.2;6;7512;394;813
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.2;7;9072;399;813
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.2;8;8902;393;797
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.2;9;12116;385;813
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.2;10;7145;396;813
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.2;1;1596;321;281
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.2;2;1619;256;827
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.2;3;1599;264;297
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.2;4;1665;235;281
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.2;5;1709;107;297
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.2;6;1697;122;281
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.2;7;1657;324;281
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.2;8;1675;144;265
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.2;9;1697;198;296
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.2;10;1626;174;265
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.2;1;3267;399;671
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.2;2;3297;397;655
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.2;3;3351;392;656
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.2;4;3382;398;651
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.2;5;3307;317;672
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.2;6;3318;340;656
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.2;7;3210;331;2109
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.2;8;3331;397;672
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.2;9;3251;396;656
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.2;10;3386;314;641
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.2;1;101500;388;188
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.2;2;103740;396;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.2;3;106020;347;375
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.2;4;114090;329;187
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.2;5;106140;359;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.2;6;110890;387;203
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.2;7;109630;351;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.2;8;105400;390;266
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.2;9;110590;377;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.2;10;109030;375;188
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.2;1;25996;389;266
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.2;2;26484;396;516
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.2;3;25880;395;234
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.2;4;26614;395;312
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.2;5;26594;398;297
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.2;6;26820;394;281
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.2;7;25926;400;484
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.2;8;25914;398;281
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.2;9;25934;396;281
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.2;10;25984;392;266
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.4;1;11863;374;750
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.4;2;11063;397;750
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.4;3;11012;376;703
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.4;4;11197;398;719
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.4;5;11582;388;734
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.4;6;11550;386;734
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.4;7;11315;387;766
