problem;instance;n;algorithm;budget;parameters;run;fitness;nfev;time
lop;N-sgb75.02;;umm-er0;400;;2;1932168;388;
lop;N-sgb75.02;;umm-er0;100;;3;2049132;24;
lop;N-sgb75.02;;umm-er0;200;;3;2116291;187;
lop;N-sgb75.02;;umm-er0;400;;3;1980641;335;
lop;N-sgb75.02;;umm-er0;100;;4;2028525;93;
lop;N-sgb75.02;;umm-er0;200;;4;2132764;194;
lop;N-sgb75.02;;umm-er0;400;;4;2031745;376;
lop;N-sgb75.02;;umm-er0;100;;5;2126071;77;
lop;N-sgb75.02;;umm-er0;200;;5;1990786;189;
lop;N-sgb75.02;;umm-er0;400;;5;1954980;367;
lop;N-sgb75.02;;umm-er0;100;;6;2015774;100;
lop;N-sgb75.02;;umm-er0;200;;6;1947028;165;
lop;N-sgb75.02;;umm-er0;400;;6;1928382;301;
lop;N-sgb75.02;;umm-er0;100;;7;2075595;26;
lop;N-sgb75.02;;umm-er0;200;;7;1964999;191;
lop;N-sgb75.02;;umm-er0;400;;7;1937587;352;
lop;N-sgb75.02;;umm-er0;100;;8;1997461;95;
lop;N-sgb75.02;;umm-er0;200;;8;1996021;192;
lop;N-sgb75.02;;umm-er0;400;;8;1905075;378;
lop;N-sgb75.02;;umm-er0;100;;9;2064097;98;
lop;N-sgb75.02;;umm-er0;200;;9;1962667;183;
lop;N-sgb75.02;;umm-er0;400;;9;2011680;259;
lop;N-sgb75.02;;umm-er0;100;;10;2110281;48;
lop;N-sgb75.02;;umm-er0;200;;10;1946563;190;
lop;N-sgb75.02;;umm-er0;400;;10;1938090;369;
lop;N-t59b11xx;;umm-er0;100;;1;120690;94;
lop;N-t59b11xx;;umm-er0;200;;1;120480;178;
lop;N-t59b11xx;;umm-er0;400;;1;113830;379;
lop;N-t59b11xx;;umm-er0;100;;2;123815;95;
lop;N-t59b11xx;;umm-er0;200;;2;110555;190;
lop;N-t59b11xx;;umm-er0;400;;2;109045;338;
lop;N-t59b11xx;;umm-er0;100;;3;134795;84;
lop;N-t59b11xx;;umm-er0;200;;3;117460;193;
lop;N-t59b11xx;;umm-er0;400;;3;121035;376;
lop;N-t59b11xx;;umm-er0;100;;4;131075;60;
lop;N-t59b11xx;;umm-er0;200;;4;114140;197;
lop;N-t59b11xx;;umm-er0;400;;4;116440;390;
lop;N-t59b11xx;;umm-er0;100;;5;131210;96;
lop;N-t59b11xx;;umm-er0;200;;5;110605;198;
lop;N-t59b11xx;;umm-er0;400;;5;118335;379;
lop;N-t59b11xx;;umm-er0;100;;6;133710;69;
lop;N-t59b11xx;;umm-er0;200;;6;112395;168;
lop;N-t59b11xx;;umm-er0;400;;6;109285;393;
lop;N-t59b11xx;;umm-er0;100;;7;138580;89;
lop;N-t59b11xx;;umm-er0;200;;7;124640;189;
lop;N-t59b11xx;;umm-er0;400;;7;116600;324;
lop;N-t59b11xx;;umm-er0;100;;8;121515;95;
lop;N-t59b11xx;;umm-er0;200;;8;121940;198;
lop;N-t59b11xx;;umm-er0;400;;8;110010;395;
lop;N-t59b11xx;;umm-er0;100;;9;131080;98;
lop;N-t59b11xx;;umm-er0;200;;9;107325;196;
lop;N-t59b11xx;;umm-er0;400;;9;105470;378;
lop;N-t59b11xx;;umm-er0;100;;10;115485;95;
lop;N-t59b11xx;;umm-er0;200;;10;119875;195;
lop;N-t59b11xx;;umm-er0;400;;10;120705;385;
lop;N-t59d11xx;;umm-er0;100;;1;28037;93;
lop;N-t59d11xx;;umm-er0;200;;1;21564;194;
lop;N-t59d11xx;;umm-er0;400;;1;14423;369;
lop;N-t59d11xx;;umm-er0;100;;2;24223;76;
lop;N-t59d11xx;;umm-er0;200;;2;23018;182;
lop;N-t59d11xx;;umm-er0;400;;2;18459;377;
lop;N-t59d11xx;;umm-er0;100;;3;26906;82;
lop;N-t59d11xx;;umm-er0;200;;3;25227;152;
lop;N-t59d11xx;;umm-er0;400;;3;16659;379;
lop;N-t59d11xx;;umm-er0;100;;4;24853;91;
lop;N-t59d11xx;;umm-er0;200;;4;19198;200;
lop;N-t59d11xx;;umm-er0;400;;4;18191;383;
lop;N-t59d11xx;;umm-er0;100;;5;26931;99;
lop;N-t59d11xx;;umm-er0;200;;5;21711;173;
lop;N-t59d11xx;;umm-er0;400;;5;15566;379;
lop;N-t59d11xx;;umm-er0;100;;6;29708;93;
lop;N-t59d11xx;;umm-er0;200;;6;29981;196;
lop;N-t59d11xx;;umm-er0;400;;6;14006;392;
lop;N-t59d11xx;;umm-er0;100;;7;25314;90;
lop;N-t59d11xx;;umm-er0;200;;7;19891;195;
lop;N-t59d11xx;;umm-er0;400;;7;14659;365;
lop;N-t59d11xx;;umm-er0;100;;8;28622;83;
lop;N-t59d11xx;;umm-er0;200;;8;17273;179;
lop;N-t59d11xx;;umm-er0;400;;8;16803;347;
lop;N-t59d11xx;;umm-er0;100;;9;27037;95;
lop;N-t59d11xx;;umm-er0;200;;9;26078;200;
lop;N-t59d11xx;;umm-er0;400;;9;21010;376;
lop;N-t59d11xx;;umm-er0;100;;10;38873;88;
lop;N-t59d11xx;;umm-er0;200;;10;17233;198;
lop;N-t59d11xx;;umm-er0;400;;10;16853;358;
pfsp;rec05;;umm-er0;100;;1;1273;87;
pfsp;rec05;;umm-er0;200;;1;1290;148;
pfsp;rec05;;umm-er0;400;;1;1266;385;
pfsp;rec05;;umm-er0;100;;2;1358;89;
pfsp;rec05;;umm-er0;200;;2;1281;185;
pfsp;rec05;;umm-er0;400;;2;1271;368;
pfsp;rec05;;umm-er0;100;;3;1310;97;
pfsp;rec05;;umm-er0;200;;3;1281;180;
pfsp;rec05;;umm-er0;400;;3;1271;248;
pfsp;rec05;;umm-er0;100;;4;1304;98;
pfsp;rec05;;umm-er0;200;;4;1283;189;
pfsp;rec05;;umm-er0;400;;4;1273;355;
pfsp;rec05;;umm-er0;100;;5;1301;96;
pfsp;rec05;;umm-er0;200;;5;1281;177;
pfsp;rec05;;umm-er0;400;;5;1278;299;
pfsp;rec05;;umm-er0;100;;6;1290;93;
pfsp;rec05;;umm-er0;200;;6;1281;193;
pfsp;rec05;;umm-er0;400;;6;1273;326;
pfsp;rec05;;umm-er0;100;;7;1314;76;
pfsp;rec05;;umm-er0;200;;7;1296;191;
pfsp;rec05;;umm-er0;400;;7;1292;177;
